id,text,label,prediction,confidence,proba_negative,proba_neutral,proba_positive,dataset_name
phrasebank_sentences_50agree_2235,The long-term contract is global .,positive,neutral,0.9977075,0.0010825164,0.9977075,0.0012099951,phrasebank
phrasebank_sentences_66agree_727,"As a domestic business , Best-In is already close to Finnish dog owners .",positive,neutral,0.997419,0.0006118223,0.997419,0.001969209,phrasebank
phrasebank_sentences_66agree_2458,Etteplan targets to employ at least 20 people in Borl+ñnge .,positive,neutral,0.9963264,0.0005425093,0.9963264,0.0031310848,phrasebank
phrasebank_sentences_50agree_2456,Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .,positive,neutral,0.9960796,0.00075007725,0.9960796,0.0031703033,phrasebank
phrasebank_sentences_50agree_1867,"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods .",positive,neutral,0.99519956,0.0005547464,0.99519956,0.0042457227,phrasebank
phrasebank_sentences_50agree_2203,The companies expect the first orders already in 2011 .,positive,neutral,0.9949621,0.0006755573,0.9949621,0.004362377,phrasebank
phrasebank_sentences_75agree_56,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",neutral,positive,0.99438643,0.0027821378,0.002831475,0.99438643,phrasebank
phrasebank_sentences_50agree_743,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .",neutral,positive,0.9938309,0.0019373725,0.004231611,0.9938309,phrasebank
phrasebank_sentences_50agree_1172,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive,neutral,0.99363977,0.00068931095,0.99363977,0.005670964,phrasebank
phrasebank_sentences_66agree_451,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,positive,0.99276733,0.0021338295,0.0050988346,0.99276733,phrasebank
phrasebank_sentences_75agree_1272,"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",neutral,positive,0.9911007,0.0017488744,0.0071504517,0.9911007,phrasebank
phrasebank_sentences_75agree_3426,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,positive,0.9900428,0.0012906811,0.008666516,0.9900428,phrasebank
phrasebank_sentences_66agree_1922,"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",positive,neutral,0.9900191,0.00057834294,0.9900191,0.009402597,phrasebank
phrasebank_sentences_66agree_3089,Earnings per share EPS in 2005 amounted to a loss of EUR1 .26 .,neutral,negative,0.9898044,0.9898044,0.009164876,0.0010307841,phrasebank
phrasebank_sentences_75agree_835,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,neutral,0.9893634,0.0017663878,0.9893634,0.0088702785,phrasebank
phrasebank_sentences_50agree_4485,"wins 98 % acceptance 23 December 2009 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will complete its takeover offer for textile company Tamfelt Oyj Abp ( HEL : TAFKS ) , after acquiring 98 % of its shares and votes .",neutral,positive,0.98751163,0.0012798602,0.011208503,0.98751163,phrasebank
phrasebank_sentences_50agree_74,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",neutral,positive,0.9873259,0.0016952202,0.010978916,0.9873259,phrasebank
