id,text,label,source_dataset,text_hash,agreement,agreement_config,split,model_native_pred,canonical_pred,p_negative,p_neutral,p_positive
phrasebank_sentences_66agree_27,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,financial_phrasebank,f8d96f0cdbe36769ff1fc06cfa4940e55736ad01912a5591bdea6ce5a9797c42,0.66,sentences_66agree,train,positive,positive,0.0133,0.1042,0.8825
phrasebank_sentences_75agree_1071,The aim is to develop open-source application solutions .,neutral,financial_phrasebank,248f57a3815abb8b009715dc0d9a767148e898f6e55f9e5df07ae79a3ed9192a,0.75,sentences_75agree,train,neutral,neutral,0.0068,0.8047,0.1886
phrasebank_sentences_allagree_1137,`` We know there are some of our own people out there . '',neutral,financial_phrasebank,a9d589562b76ccfb1dc30b553dd268106bf895f245fad3486e7ad20c1d23d834,1.0,sentences_allagree,train,neutral,neutral,0.0422,0.8285,0.1293
phrasebank_sentences_66agree_1546,Basic banking activities continued as normal .,neutral,financial_phrasebank,5bcf4cea1938edcaeb3e36ef27b68d598a68fb509fc795996759b1f1a9508625,0.66,sentences_66agree,train,neutral,neutral,0.0206,0.9182,0.0612
phrasebank_sentences_50agree_1275,"KONE , headquartered in Espoo , Finland , is one of the world 's leading elevator and escalator companies .",neutral,financial_phrasebank,aa3e5fd44e9b35cee6adfbea8bac482efe1fed0bb117e249cf9478057634d204,0.5,sentences_50agree,train,neutral,neutral,0.007,0.7075,0.2855
phrasebank_sentences_75agree_2453,"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",neutral,financial_phrasebank,b2d1d3012ec01a38dce64f4c448603079c0fc0e9abf3daf1bc461b292bc2be5a,0.75,sentences_75agree,train,neutral,neutral,0.0126,0.9286,0.0588
phrasebank_sentences_66agree_1747,European traffic grew nearly 30 % .,positive,financial_phrasebank,df2cb99016a3bbfd0744a0b012e87393d9a107689d44fbfb8fd35f58335c7042,0.66,sentences_66agree,test,positive,positive,0.0138,0.0336,0.9525
phrasebank_sentences_allagree_1462,The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,neutral,financial_phrasebank,234dd9de4520a51febceee5a31d1f64589ce521cc65f8980bf95de2c32a1bc74,1.0,sentences_allagree,test,neutral,neutral,0.0218,0.946,0.0323
phrasebank_sentences_allagree_1134,`` It wo n't happen overnight .,neutral,financial_phrasebank,cbf1d9f35a09462d1b07a7867f24271bb2f643541911eab224c266e4d3d0e39e,1.0,sentences_allagree,train,neutral,neutral,0.1085,0.8415,0.0499
phrasebank_sentences_allagree_582,Pertti Ervi is independent from the Company and its major shareholders .,neutral,financial_phrasebank,9146c69b25e36a17ea8422399a39088be4c1f42b81687b92c5a75bedddc951ce,1.0,sentences_allagree,train,neutral,neutral,0.056,0.926,0.0179
phrasebank_sentences_allagree_1759,"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,financial_phrasebank,34a5e6dab7d19bbde9039a3794669289e27d8a3887808eea75f32edb88af4a32,1.0,sentences_allagree,train,neutral,neutral,0.0175,0.9511,0.0314
phrasebank_sentences_75agree_1836,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral,financial_phrasebank,5f6ecec8441fb785f0f33f7800cfc64605c4536597eab12b63c5d338673d851d,0.75,sentences_75agree,train,neutral,neutral,0.0137,0.9425,0.0437
phrasebank_sentences_66agree_3622,"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",negative,financial_phrasebank,8c5f7892057c4709c4e13bfe3c327e7c7e2b7d8c7a13fccdce0f3226fb9196c5,0.66,sentences_66agree,train,negative,negative,0.9705,0.0231,0.0063
phrasebank_sentences_75agree_1392,Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral,financial_phrasebank,cbd3013bc38f05bed579b2043555407f048f93ea991d57900496a3f4f558b410,0.75,sentences_75agree,test,neutral,neutral,0.0446,0.9286,0.0268
phrasebank_sentences_66agree_2393,"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .",neutral,financial_phrasebank,27aed25d61a002a996ccde0caf8eb7eefaf06edc1190d2bb296d1a80d1d3b2ac,0.66,sentences_66agree,train,neutral,neutral,0.0148,0.9361,0.049
phrasebank_sentences_allagree_1218,"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",neutral,financial_phrasebank,b801afafa2016d677d80457aeb7771dc8e1de9bcf08c2b319b253f423e218f50,1.0,sentences_allagree,train,neutral,neutral,0.0113,0.8883,0.1004
phrasebank_sentences_66agree_993,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive,financial_phrasebank,f4fa6fc1db8e1958d8e8ce2e5eb6ff93a340f6326ff416479b20885b9f0ab85c,0.66,sentences_66agree,train,positive,positive,0.0063,0.1993,0.7944
phrasebank_sentences_66agree_840,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,positive,financial_phrasebank,68cb18cf91bbfa8bd486bff6b09f96f9c9b7ea7eb0a8deba2228544d7d27a0f1,0.66,sentences_66agree,train,positive,positive,0.0115,0.1242,0.8642
phrasebank_sentences_allagree_317,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,financial_phrasebank,ccf822ffb4144c84c7273de8650d307942e6cad8353184ab657274ebee6dc2ed,1.0,sentences_allagree,train,positive,positive,0.0237,0.027,0.9493
phrasebank_sentences_66agree_3932,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,negative,financial_phrasebank,80ca42aefb4ad53f40eaa9e74b2f87104e7fe40f2e713654c0e6f66eb74b51ca,0.66,sentences_66agree,train,negative,negative,0.9717,0.0219,0.0064
