check,status,detail
leakage_train_vs_val,PASS,0 hashes
leakage_train_vs_test,PASS,0 hashes
leakage_val_vs_test,PASS,0 hashes
split_counts,PASS,train=3353 val=479 test=959
label_dist_train,PASS,"{'neutral': 2008, 'positive': 931, 'negative': 414}"
label_dist_val,PASS,"{'neutral': 287, 'positive': 133, 'negative': 59}"
label_dist_test,PASS,"{'neutral': 574, 'positive': 266, 'negative': 119}"
agreement_dist_train,PASS,"{1.0: 1551, 0.75: 838, 0.66: 518, 0.5: 446}"
agreement_dist_val,PASS,"{1.0: 236, 0.75: 114, 0.66: 80, 0.5: 49}"
agreement_dist_test,PASS,"{1.0: 448, 0.75: 226, 0.66: 156, 0.5: 129}"
leakage_total,PASS,leakage_count=0
