id,text,label,source_dataset,text_hash,split
fiqa_train_648,UPDATE 1-BP shareholders back more disclosure on climate change risks,neutral,fiqa,1bfee47129541b46c933cda54b4b326c38fd30fa480d2001263c2a9f183eb9cb,train
fiqa_train_73,$IBIO  up 10% in premarket ready for lift off,positive,fiqa,3836626ab9c89ae1fca6be49066a7c83c66e7292ce3978c3acb9b2d21f37815d,train
fiqa_train_605,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,positive,fiqa,9e63fdc8a820c917ec677e4b0db42e59e732c65672baaadd2654cab8f4de7a01,train
fiqa_test_61,U.S. Debt Lures Schroders as ECB Depresses Rates,neutral,fiqa,4ac5cfd1992741d782d8ae84aed62c4b39669e13a238d6cc42e592baf56c33e5,train
fiqa_test_136,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive,fiqa,f49980819649ef75d3b3c85b58d93b34c0b8c185ad7c01c99c2106e54f3ac33d,train
fiqa_train_458,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,fiqa,c3c81881c0784bbf965f586808d79d178580e6f960cff13c642194d825dcefcd,train
fiqa_train_624,Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,fiqa,de1c5975b446d9d8bff3de61b017140ac52d37d218dc5f0ebb3726ac7de45a1a,train
fiqa_train_707,$KEP breaking out when the market pulls back  http://stks.co/r0cet,positive,fiqa,1028f1bb36c8828adc134861072f48a96f5f95d7986bf6224b26afa77b1b7a9a,train
fiqa_test_48,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative,fiqa,07d4c577373996c01b2d83689fb5efe940ad63921ce8537f0421e72c0a330b28,train
fiqa_train_776,$FB bot some @78.47 breakout from the consolidation zone :D,positive,fiqa,dfb1e3db5ddde2581752181857ddc2fac625a603c8eb77a2be4d7b68d508ebbf,train
fiqa_train_862,expecting  $SPY to close above 205.20 $AAPL,positive,fiqa,d3b18932cd16775512da2367764f6ed11bd29fdd830f9919878432a2b3a3b521,train
fiqa_test_28,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,fiqa,93b08337a579dc1a3e4f84bb6c5ea32b160646ef0689d92cf5ff432711ca9271,train
fiqa_train_356,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,positive,fiqa,699df39d0fbd12eca939307547d816e066b2d35188fcb5063443b3e91577d0c7,train
fiqa_train_671,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative,fiqa,cf8e355a2dc4cd2339c1ef2100e576733262cddb14921f60747df51866e090db,train
fiqa_train_747,CompaniesTesco off to a bad start over Xmas Ã¢â¬â Kantar,negative,fiqa,c001be769632e8a3772b350c49bda6a7b86da2fca79bec7a34dcd4608ea6537e,train
fiqa_train_796,"News FeedSchroders books solid earnings growth, several board changes",positive,fiqa,00bb3760e277376efd873ef5139923f96707f0ca7bf21b0d367740a9f74c287b,train
