id,text,label,source_dataset,text_hash,agreement,agreement_config,split
phrasebank_sentences_75agree_871,"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,financial_phrasebank,b49905be1054174930b95a20f73b3b23bdb6f02a7da24e4c6196e5d09ee8d19e,0.75,sentences_75agree,train
phrasebank_sentences_allagree_693,"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities .",neutral,financial_phrasebank,a42b73102b2186b6583b22238ebae6c3d27de907b53af9179ab79ebddf55fcca,1.0,sentences_allagree,train
phrasebank_sentences_75agree_637,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,financial_phrasebank,97a0c55e706b6c17a24edac3f653add70fb79ff15c7954fcf037d4b96fcf7aad,0.75,sentences_75agree,train
phrasebank_sentences_75agree_3123,Operating loss landed at EUR39m including one-offs and at EUR27m excluding one-offs .,neutral,financial_phrasebank,14941bb871f97f6b7efbc60e0a721b23e13811438dbc4f06bf388cca7592fa60,0.75,sentences_75agree,train
phrasebank_sentences_50agree_1291,Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .,neutral,financial_phrasebank,fcaf66e3df2fffd73a27149bef09a024c1937eb23c5a7ea82c106e7c237fdb85,0.5,sentences_50agree,train
phrasebank_sentences_allagree_1082,The increase range will vary up to 10 % .,neutral,financial_phrasebank,9428cb851fcdb1fb5d7aeed8fdd8e52de30141d8a39f1ec93e49c2cde8a07ac9,1.0,sentences_allagree,train
phrasebank_sentences_66agree_919,It will use the proceeds from the transaction to achieve its target .,neutral,financial_phrasebank,7b555b192208e759269d2cff7e58adbcda3e1359eada5373419a7cfb02b75489,0.66,sentences_66agree,train
phrasebank_sentences_50agree_4202,"In Europe , the paper industry 's situation is paradoxical .",neutral,financial_phrasebank,a243905409594f5ed938536bfed6610d792615877a1be10dbf2d24d852a50813,0.5,sentences_50agree,train
phrasebank_sentences_allagree_1825,The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral,financial_phrasebank,6bfdd8a3a2ce5fa03e68f309b43b8ca4069fc4598e5e0127313b77e04a15808a,1.0,sentences_allagree,train
phrasebank_sentences_75agree_1630,LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .,neutral,financial_phrasebank,b4bc61679debf6923dc261d23a5ed575abc3c80d88b2b99c40ac02b751e4bc86,0.75,sentences_75agree,train
phrasebank_sentences_66agree_3174,Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .,positive,financial_phrasebank,cff50316ece9f6222a7a8c34688a0f923856e76d3010bd3917723d6a5dbd348b,0.66,sentences_66agree,train
phrasebank_sentences_75agree_604,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,positive,financial_phrasebank,9db4893cf7b9e34d8c9766669c99f21d68b33db04316da31495a97b1b965d481,0.75,sentences_75agree,train
phrasebank_sentences_50agree_3430,TN means that the handset supports TeliaSonera 's Telia Navigator global positioning system service .,neutral,financial_phrasebank,7a85f878fb81c5673ba5743274419448c1b1c98b707cfcdb37c2915648586345,0.5,sentences_50agree,train
phrasebank_sentences_allagree_1463,"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,financial_phrasebank,aded3f70b1ff666c4bb6c4074a0d219dc7958ff118e1715debca52834fed6ce1,1.0,sentences_allagree,train
phrasebank_sentences_75agree_3077,"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",neutral,financial_phrasebank,353391b262a53dc7b4b14192e5e36363c9b0410cac0eb3004d13c91e1e5d8673,0.75,sentences_75agree,train
phrasebank_sentences_allagree_1124,We offer our customers solutions based on renewable raw materials .,neutral,financial_phrasebank,8d55ab8af949de8984533c7de656fa97223f174345f09d791fc714bf58a9870d,1.0,sentences_allagree,train
phrasebank_sentences_allagree_1499,"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral,financial_phrasebank,bb6cfd333b0564bd68c956106f12cd200e3d1b8877232562a925cc04a321c4bf,1.0,sentences_allagree,train
