text_hash,n,n_unique_labels,labels,sources,sample_text
00bb3760e277376efd873ef5139923f96707f0ca7bf21b0d367740a9f74c287b,2,1,negative,fiqa,"News FeedSchroders books solid earnings growth, several board changes"
012f0416d18b1fbdd65aa5e7e989708dd784d11e1f86e438d237f8531ec3a095,2,1,negative,fiqa,$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.
04fb06ade020a14f9ce011d304947bddae25efcc79cbe3d3f19e12ede1fd3f72,2,1,negative,fiqa,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration
0a1ee0e93810f03d21fe68fdc0ffa2ec2d91c93939fee57248d62a379b5717da,2,1,neutral,fiqa,RBS will reportedly appoint Howard Davies as its next chairman
1025bb815042c13e57ed332a11ccc2da8e366b528b8a494e363b7f696745b177,2,1,positive,fiqa,$BWLD bearish engulfing candle
130d2385a45b8bd133353feb37b39760db8afdba30a327e03ba0bf41a53a02c5,3,1,neutral,fiqa,SAB's Chairman Digs In With Board Divided on InBev Offer
151eef49d43748ee0ae8ab27680fd1fc9fa121dde9e3d6962b8a1efd5145f556,2,1,neutral,fiqa,MarketsBP promotes upstream boss to deputy CEO
1aba6fbe28cc9c446893043c040db5cac04247345343a4ca4fda19635da8b063,2,1,negative,fiqa,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh
1bfee47129541b46c933cda54b4b326c38fd30fa480d2001263c2a9f183eb9cb,2,1,neutral,fiqa,UPDATE 1-BP shareholders back more disclosure on climate change risks
1c05dcb7481fb438606fd4063e41ba679b0f563b8ef4950df49d540662617248,2,1,positive,fiqa,Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo
1ea4dea2a00ca10f82026c889590f148def933269ae3b6d6b15c497c2c2e2b12,2,1,negative,fiqa,Unilever profit rises despite sales slump in China
22c5f69ec18125577bb957616760a92d5f8cbffd1332adf29f1a00b6e6a614ad,3,1,neutral,fiqa,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger
246e847559223cbf9c3164399d393c0305a121b74a839ffa2267408255738dd4,2,1,neutral,fiqa,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer
251c0710f2cd73736a99844471188a4053995f9c605c1802c30a93eaa5a225ba,2,1,positive,fiqa,Copper market may get a 2003-style supply shock from Glencore closures
2686d75330871834c530f0a8bed692d9b78cebc92ebcc84fb518c19e33ccff6a,2,1,positive,fiqa,S&P downgrades Barclays and RBS on government bailout fears
2697c9712b703552480109ec535665ed4d97a3319d6b18575e6176f28115f1d6,2,1,positive,fiqa,Morrisons faces festive sales test
2a69e7d3723ec8012e00a2e63cc8265137ed4f0b609c61420ba06f79fbbb8fa2,3,1,neutral,fiqa,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything."
2b5b35295fa89a857f8c4711acae9603ec65667300544d88541fe0934b83b179,2,1,negative,fiqa,"$TSLA steaming up again, this stock is relentless at the moment"
2c83ab7407c55c355a229f916c44e7fe781e50b3e4a47945ae55480024f12172,2,1,negative,fiqa,Look at that $AMZN > 600
